,id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
315,21427,Los Rosales,58.0,2,1,118000,2034
316,21426,Los Rosales,70.0,2,1,202000,2886
317,21425,Los Rosales,47.0,1,1,144000,3064
318,21424,Los Rosales,64.0,2,1,98968,1546
319,21423,Los Rosales,50.0,2,1,105000,2100
320,21422,Butarque,103.0,3,2,265000,2573
321,21421,Butarque,90.0,3,2,290000,3222
322,21420,Butarque,66.0,2,1,90000,1364
323,21419,San Andrés,70.0,2,1,75000,1071
324,21418,San Andrés,60.0,2,1,125000,2083
325,21417,Butarque,101.0,2,2,255000,2525
326,21416,San Andrés,75.0,3,1,117300,1564
327,21415,San Andrés,55.0,2,1,96600,1756
328,21414,Los Ángeles,77.0,3,1,119000,1545
329,21413,Los Rosales,56.0,3,1,100000,1786
330,21412,Butarque,68.0,3,1,97000,1426
331,21411,Los Rosales,72.0,3,1,95000,1319
332,21410,San Andrés,70.0,3,1,135000,1929
333,21409,Los Rosales,75.0,2,2,195000,2600
334,21408,San Andrés,120.0,3,1,195000,1625
335,21407,San Andrés,91.0,2,2,215000,2363
336,21406,San Andrés,95.0,2,1,122000,1284
337,21405,Los Ángeles,61.0,3,1,125000,2049
338,21404,Los Rosales,73.0,2,1,120000,1644
339,21403,San Andrés,66.0,3,1,93000,1409
340,21402,Los Ángeles,68.0,2,1,125000,1838
341,21401,San Andrés,70.0,3,1,104840,1498
342,21400,San Cristóbal,42.0,4,1,95900,2283
343,21399,Los Ángeles,54.0,3,1,71000,1315
344,21398,Los Rosales,56.0,3,1,105000,1875
345,21397,Los Ángeles,100.0,4,1,165000,1650
346,21396,Los Ángeles,125.0,4,2,173000,1384
347,21395,Los Ángeles,54.0,3,1,71000,1315
348,21394,San Cristóbal,130.0,4,2,168000,1292
349,21393,Los Ángeles,68.0,2,1,99900,1469
350,21392,Villaverde,85.0,3,1,128000,1506
351,21391,San Andrés,75.0,3,1,120000,1600
352,21390,Los Ángeles,80.0,2,1,95000,1188
353,21389,San Cristóbal,64.0,2,1,110000,1719
354,21388,San Cristóbal,69.0,4,1,85900,1245
355,21387,Los Rosales,115.0,4,1,184900,1608
356,21386,San Cristóbal,70.0,3,1,142500,2036
357,21385,Villaverde,56.0,2,1,109000,1946
358,21384,San Andrés,90.0,2,1,140000,1556
359,21383,San Andrés,75.0,3,1,117300,1564
360,21382,Los Rosales,71.0,2,1,120000,1690
361,21381,San Cristóbal,76.0,3,1,110000,1447
362,21380,San Andrés,114.0,4,2,299000,2623
363,21379,San Andrés,90.0,3,2,180000,2000
364,21378,San Cristóbal,70.0,3,1,85000,1214
365,21377,San Andrés,80.0,3,1,100000,1250
366,21376,Los Ángeles,96.0,4,2,170000,1771
367,21375,Butarque,50.0,1,1,125000,2500
368,21374,Los Rosales,85.0,3,2,230000,2706
369,21373,Butarque,90.0,3,2,300000,3333
370,21372,San Cristóbal,60.0,3,1,120000,2000
371,21371,San Andrés,90.0,2,2,240000,2667
372,21370,San Cristóbal,60.0,3,1,140000,2333
373,21369,Los Ángeles,105.0,3,2,135000,1286
374,21368,Butarque,140.0,3,3,340000,2429
375,21367,San Andrés,112.0,3,2,230000,2054
376,21366,San Cristóbal,60.0,3,1,145000,2417
377,21365,Los Rosales,62.0,2,1,142450,2298
378,21364,San Andrés,240.0,4,3,580000,2417
379,21363,Los Ángeles,81.0,3,1,160000,1975
380,21362,Los Rosales,75.0,3,1,180000,2400
381,21361,San Andrés,72.0,3,1,130000,1806
382,21360,Butarque,95.0,2,2,250000,2632
383,21359,San Andrés,49.0,1,1,190000,3878
384,21358,San Andrés,90.0,3,1,169000,1878
385,21357,San Andrés,78.0,2,1,168000,2154
386,21356,San Andrés,100.0,3,1,210000,2100
387,21355,Villaverde,70.0,3,1,95000,1357
388,21354,Villaverde,52.0,2,1,74800,1438
389,21353,Villaverde,56.0,3,1,78000,1393
390,21352,San Andrés,110.0,3,2,189000,1718
391,21351,Butarque,115.0,3,3,245000,2130
392,21350,Villaverde,70.0,3,1,97000,1386
393,21349,San Cristóbal,75.0,3,1,155000,2067
394,21348,Los Ángeles,116.0,4,2,170000,1466
395,21347,Butarque,48.0,2,1,120000,2500
396,21346,Los Rosales,80.0,3,1,125000,1562
397,21345,Butarque,81.0,3,1,139500,1722
398,21344,Los Ángeles,95.0,4,2,198000,2084
399,21343,San Cristóbal,60.0,4,1,75000,1250
400,21342,San Andrés,50.0,2,1,123000,2460
401,21341,San Andrés,50.0,1,1,148000,2960
402,21340,San Andrés,242.0,4,3,380000,1570
403,21339,Los Rosales,166.0,3,1,300000,1807
404,21338,San Andrés,50.0,2,1,140000,2800
405,21337,Los Ángeles,94.0,4,1,190000,2021
406,21336,Los Ángeles,80.0,3,1,150000,1875
407,21335,Los Rosales,65.0,2,1,110000,1692
408,21334,San Andrés,105.0,3,2,190000,1810
409,21333,Los Ángeles,100.0,3,1,142000,1420
410,21332,Villaverde,64.0,3,1,95000,1484
411,21331,Villaverde,85.0,2,2,229000,2694
412,21330,San Andrés,72.0,3,1,140000,1944
413,21329,Villaverde,92.0,3,1,119000,1293
414,21328,San Andrés,106.0,3,1,145000,1368
415,21327,Los Ángeles,67.0,2,1,115000,1716
416,21326,San Andrés,60.0,2,1,150000,2500
417,21325,Los Rosales,71.0,2,1,202000,2845
418,21324,Los Rosales,48.0,1,1,144000,3000
419,21323,San Andrés,60.0,2,1,120000,2000
420,21322,San Cristóbal,60.0,3,1,105000,1750
421,21321,Los Ángeles,61.0,3,1,108000,1770
422,21320,San Andrés,115.0,3,1,147000,1278
423,21319,San Andrés,55.0,2,1,95000,1727
424,21318,Los Rosales,65.0,3,1,99500,1531
425,21317,San Andrés,118.0,3,2,179000,1517
426,21316,Los Rosales,54.0,3,1,91958,1703
427,21315,San Andrés,80.0,3,1,100000,1250
428,21314,Butarque,147.0,4,2,340000,2313
429,21313,Los Rosales,81.0,3,1,139500,1722
430,21312,Los Ángeles,108.0,4,2,156000,1444
431,21311,Los Rosales,133.0,4,2,280000,2105
432,21310,San Cristóbal,90.0,3,2,139000,1544
433,21309,San Cristóbal,63.0,2,1,102000,1619
434,21308,San Andrés,95.0,2,1,154500,1626
435,21307,San Cristóbal,76.0,2,1,109492,1441
436,21306,San Andrés,115.0,3,1,148000,1287
437,21305,San Cristóbal,70.0,3,1,95000,1357
438,21304,San Cristóbal,71.0,3,1,100000,1408
439,21303,San Cristóbal,70.0,3,1,97000,1386
440,21302,Los Rosales,100.0,3,2,179000,1790
441,21301,San Cristóbal,63.0,3,1,119000,1889
442,21300,San Andrés,60.0,2,1,95000,1583
